
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161","147","291","407","546","480","186","122","97","79","348","94","","","","59","","","","",
"Afghanistan","AFG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","1426190","","","","","","","","","","","","","","","","","","","1844391","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","650594","717968","","","","","","","","","","","","","","","1037849","","","","","","","","","","944110","1011340","1005390","955329","","","","","","","",
"Albania","ALB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7470","11199","15035","","19834","21175","","","","26672","36083","32882","29020","19980","10957","6981","7557","7101","4665","",
"Andorra","AND","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","9629006","9870175","9818495","9822486","9911646","9841427","9684171","9727770","9817891","9642945","9552880","9653696","9733832","9770876","9642469","9715004","9651059","9531776","9559985","9811174","9566163","9749202","10934191","11030064","10436533","10970346","10314927","10259317","10183040","9816489","9381220","8814385","8347506","7892245","7596724","7603327","7511255","6948459","6586976","6425963","6077240","6456663","6512109","7241368","7797073","7757574","7778091","7748007","",
"United Arab Emirates","ARE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","14962","","22454","28581","26464","34823","38218","42131","44831","28939","24261","16229","9037","8243","16417","25758","32028","31919","40107","51408","51971","","","","","","","","","17765","","","","","19210","22078","18514","16357","11902","","",
"Argentina","ARG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","161103","","","","112938","121575","","","","","","","","","","","","251822","","","","173163","","","","","","0","2553","10312","18856","","","19129","33541","27214","21952","17591","23364","23702","39581","36675","35053","27937","14149","11564","28723","","",
"Armenia","ARM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20969","22090","","14931","9441","3291","","","","6728","5001","4935","8869","10967","12075","12282","",
"American Samoa","ASM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1888","1821","1905","2229","2435","2601","","2601","2131","","","",
"Australia","AUS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","57665","","78907","88284","46204","30504","425","294","329","713","3008","20218","35165","61837","59705","49007","40976","31681","30670","37283","46807","50904","57645","62479","98846","91598","99445","101109","108446","110185","114561","113275","99799","92094","82523","78813","64287","62140","60011","55088","43011","45874","50066","58355","60306","69193","","",
"Austria","AUT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","46574","51192","58466","62892","63685","65508","","","","","","","","","","","","","19512","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17399","18109","42450","85323","81334","47885","74182","85221","56897","84704","102011","102629","110026","98088","95428","92606","89421","84545","74675","78445","64313","53736","31378","25324","29661","27483","34961","",
"Burundi","BDI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","470287","","","","","499307","","497030","487230","471679","440631","421390","407088","406763","389912","390154","","","","","480625","","","","","","","686805","590236","602512","564915","551091","516743","307999","220470","85850","109215","39646","","","","","","","45208","",
"Belgium","BEL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","32578","","20083","15282","24086","22972","47105","51457","53634","42100","31412","22395","","","24862","35285","16834","21406","21204","17914","","","6375","5964","6073","7849","15129","26985","29474","26861","19876","15497","15967","17757","16957","14591","14473","15126","12285","10325","","",
"Benin","BEN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","333568","339598","363924","","393436","403289","493668","","442263","422018","425142","416016","406352","385559","","","","","","191158","157142","213657","176619","","139539","83737","75552","79068","70197","","59913","","","52737","",
"Burkina Faso","BFA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","776352","787916","","","","","865999","884325","902432","915927","923518","928081","940176","955188","962732","969101","981228","1010572","1042711","","1089177","1113415","1130994","1143518","1146259","","","1167281","1188805","1197366","1207758","1261654","1251079","1244775","1177147","1128687","1039308","927974","886778","1044362","948902","945661","950308","941403","920171","761443","746623","",
"Bangladesh","BGD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","4686463","","","3081440","","","2604138","3200682","3334255","","","3880629","","4378354","4706786","5101058","5396551","5688607","4360633","4451076","4085120","","","","","","","","","","","","","","","792416","719981","","1233122","1080983","841508","","","","","","","753254","",
"Bulgaria","BGR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25991","21053","10446","9621","11045","10367","13432","11868","9167","11960","8729","1187","795","1639","1151","1201","5579","9255","10938","14045","18895","","",
"Bahrain","BHR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","8601","7500","7142","6682","5605","7132","7407","8520","8456","7853","8154","9014","7985","6543","4470","1965","2344","933","526","","351","1849","1265","1363","598","96","268","39","331","1563","4058","4483","5426","5986","8528","7391","","","","","7944","7274","6394","4453","2143","2330","1279","",
"Bahamas, The","BHS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","0","26","1167","193","0","349","","","","877","0","","","1299","","","","","","","","4050","3955","2604","","","","","3038","","","","","1949","481","956","447","461","1236","693","","","","","","3740","","",
"Bosnia and Herzegovina","BIH","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80968","","","","","","16988","29619","27232","31964","38174","36583","35618","","27709","29700","31323","20276","24701","24686","20855","14400","16598","",
"Belize","BLZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","299","1417","2605","","2603","1965","2185","1940","2155","1719","1335","929","1092","204","522","395","359","376","330","",
"Bermuda","BMU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","1084","1181","","","","","481","336","","","","","","","","","","","","","","","","","","","","116","","","","","","585","797","","","","","","",
"Bolivia","BOL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57261","56085","48467","45989","43543","37513","40053","39922","40645","44646","68095","27528","60727","92053","139212","145344","148574","139989","126435","104077","",
"Brazil","BRA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243626","","149812","431963","767959","626699","548940","","1056614","197162","454365","","535410","173927","393728","373171","454937","395798","","",
"Barbados","BRB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","5166","4464","4085","","","359","495","520","338","","1710","1719","1119","","","","","","74","597","","2575","","","","","","","681","1080","1314","1949","1982","2234","2249","1811","1175","719","1393","1118","1460","","","1924","1680","1573","2126","",
"Brunei Darussalam","BRN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","2657","2728","5545","5814","7192","7917","7715","7566","","6617","","","","","3549","2970","2061","2049","749","","","","","","","","","","","","","","1129","","","1351","1031","1418","1437","1285","1355","",
"Bhutan","BTN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","48863","48699","","","","","","","","","","","","","","","","","","","51815","51418","48509","44570","","","","32444","28066","","21654","16693","14323","13398","11524","12840","","15606","17305","18367","",
"Botswana","BWA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","79127","85119","85140","85147","80960","72913","67590","62360","62667","61578","55281","46762","","42039","42891","40112","39063","38393","38668","38614","41243","36807","39357","40779","40349","63830","60331","","49024","50579","47336","42758","42425","42542","40195","42860","39567","41771","43149","40816","","","21786","19812","33883","","","","",
"Central African Republic","CAF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","136360","133262","130871","","","","157226","162286","","","158969","157819","156602","","","159887","208993","225489","232015","197727","223771","","","","","","","","","","","","","","336071","339200","293663","239826","242852","230870","247359","232452","","","","","","",
"Canada","CAN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","97299","102735","114729","117955","111391","110779","111855","107729","108881","51739","58392","97239","111197","138724","117130","","37957","7182","1972","","","","","","","","","","","","11599","12074","13160","9007","863","","",
"Central Europe and the Baltics","CEB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","465527","268402","307346","293610","288007","298309","295480","289480","302389","293846","257768","237273","226057","207110","219959","222415","249155","267723","281305","285536","289498","",
"Switzerland","CHE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","147728","142575","","","125257","120857","118302","116785","113373","108359","100571","90973","81130","73642","70888","72272","77627","83368","53732","45007","","","2597","3559","3965","3980","3982","","","","","","","4356","3624","3701","1720","1635","1762","1146","","",
"Channel Islands","CHI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
